furniture-10000201,Default - Bed
furniture-20000201,A bed pieced together from IOP-issued cardboard boxes. It can be dismantled and used for warming up.
furniture-10000202,Default - Cardboard Box
furniture-20000202,A cardboard box issued by IOP. No one knows what's in it but it sure makes a good chair.
furniture-10000203,Default - Cardboard Box
furniture-20000203,A cardboard box issued by IOP. No one knows what's in it but it sure makes a good chair.
furniture-10000204,Default - Floor
furniture-20000204,Griffin's original floor: Reinforced concrete. This rugged construction material regained unexpected popularity in the last century due to the rise of minimalist designs.
furniture-10000205,Default - Ammo Box
furniture-20000205,The most commonly seen ammo box in the HQ//c also the best friend of machine gun T-Dolls.
furniture-10000206,Default - Table
furniture-20000206,A cardboard box issued by IOP. No one knows what's in it but it sure makes a good table.
furniture-10000207,Default - Wallpaper
furniture-20000207,Griffin's original wall: Reinforced concrete. This rugged construction material regained unexpected popularity in the last century due to the rise of minimalist designs.
furniture-10000301,New World (I) - Plaid Tile Floor
furniture-20000301,Alternating colored tiles is a classic design//c but requires regular cleaning.
furniture-10000302,New World (I) - Fading Wallpaper
furniture-20000302,The slightly fading wallpaper reminds people of the Golden Age in the '60s of the past century.
furniture-10000303,New World (I) - Folding Bed
furniture-20000303,Stolen from a frontline hospital//c the folding bed is much more comfortable than a cardboard box. It even comes with a green rug to provide extra warmth.
furniture-10000304,New World (I) - Rotating Stool
furniture-20000304,This stool used to be in a fast food chain. It's intentionally designed to be uncomfortable so that customers would leave quickly once they finish eating.
furniture-10000305,New World (I) - Coat Rack
furniture-20000305,Even among the ruins of a post-war world//c attire is still an important aspect in the lives of ladies and gentlemen//c especially since the weather forecasts radioactive rain tomorrow.
furniture-10000306,New World (I) - Bottled Water
furniture-20000306,There's nothing more important than clean drinking water. The reassuring sound of twisting open a fresh bottle is like music to the ear.
furniture-10000307,New World (I) - Moving Boxes
furniture-20000307,These packed-and-ready-to-go boxes are your best friends if you need to frequently move base.
furniture-10000308,New World (I) - Heating
furniture-20000308,Even though the base now has proper heating//c this exquisitely crafted cast-metal structure has been retained as a decoration.
furniture-10000309,New World (I) - Locked Safe
furniture-20000309,Since no one knows what's the password to this box//c it can only be used as a chair. Hope it's not a mini-nuke inside.
furniture-10000310,New World (I) - Fast Food Table
furniture-20000310,A table from a fast food chain//c complete with an assortment of sauces and old magazines from 12 years ago. Hardcore nostalgia material.
furniture-10000311,New World (I) - Poster
furniture-20000311,After the war//c new calenders are no longer printed//c and hot dogs have gone extinct.
furniture-10000312,New World (I) - Wall Clock
furniture-20000312,No//c this isn't a work of Salvador Dalí. It's just the result of a vandal bending one of its hands.
furniture-10000313,New World (I) - Exhaust Fan
furniture-20000313,An exhaust fan for ensuring air circulation. It also provides some ambiance noise when things get too quiet.
furniture-10000314,New World (I) - Wall Lamp
furniture-20000314,Pull once for light//c pull once more for more light. Give it a firm tug//c and you'll never be able to turn it off.
furniture-10000315,New World (I) - Window
furniture-20000315,Even though there is no need to worry about invaders//c boarding up the windows is simply a tradition in the post-apocolyptic world.
furniture-10000401,Fall - Girl's Bed
furniture-20000401,This little bed is decorated to give off cozy fall vibes and comes with a large rabbit plushie. A T-Doll favorite.
furniture-10000402,Fall - Thick Woolen Rug
furniture-20000402,Stepping on this thick white woolen rug barefoot gives you the warmest//c fuzziest feeling.
furniture-10000403,Fall - Red Sofa (L)
furniture-20000403,A small red sofa. Looks a bit worn//c but it's very soft.
furniture-10000404,Fall - Red Sofa (R)
furniture-20000404,A small red sofa. Looks a bit worn//c but it's very soft.
furniture-10000405,Fall - Elegant Cabinet
furniture-20000405,An elegantly-styled cabinet full of tools for making and storing desserts.
furniture-10000406,Fall - Berry Basket
furniture-20000406,Freshly picked fall berries and a straw hat... Hold on//c whose hat is that? It smells of flowers.
furniture-10000407,Fall - Cocoa Floorboards
furniture-20000407,"Smells like chocolate!" Highly recommended by FNC.
furniture-10000408,Fall - Soft Sofa
furniture-20000408,A big red sofa that does a better job at not letting you get up than the small ones. If only we could laze on it all day.
furniture-10000409,Fall - Coffee Table
furniture-20000409,A coffee table filled with dessert. Afternoon tea simply must begin with Springfield's and m45's masterpieces. Don't eat too much though - cavities aren't covered by insurance.
furniture-10000410,Fall - Sunflower Vase
furniture-20000410,A sunflower made of silk in a ceramic vase. It doesn't lose out on beauty to a real one//c and it's easy to care for.
furniture-10000411,Fall - Red Leaves Wallpaper
furniture-20000411,Red Leaves Wallpaper designe0d especially for Fall by Griffin HQ. It proves to be quite popular//c so the price will probably go up.
furniture-10000412,Fall - Ink Wash Painting
furniture-20000412,Paratroopers insist that this piece of undecipherable//c graffiti-like painting is post-modern art.
furniture-10000413,Fall - Brown Rabbit Plushie
furniture-20000413,A soft and cute rabbit plushie with brown fur like baby hares in early fall. It has the same red scarf as FAL's mink.
furniture-10000414,Fall - Messy Bookshelf
furniture-20000414,A bookshelf with a handful of books randomly thrown on to make its owner look knowledgeable.
furniture-10000415,Fall - Multi-Purpose Shelf
furniture-20000415,A shelf holding a set of books//c little scuptures//c and a small mysterious box.
furniture-10000416,Fall - Window with Fall Scenery
furniture-20000416,An Ultra-HD video of fall scenery on 24-hour playback. The mandarin is a special gift to the Commander.
furniture-10000501,New World (II) - Plaid Floor Tiles
furniture-20000501,Alternating colored tiles is a classic design//c but requires regular cleaning.
furniture-10000502,New World (II) - Fading Wallpaper
furniture-20000502,The slightly fading wallpaper reminds people of the Golden Age in the '60s of the past century.
furniture-10000503,New World (II) - Folding Bed
furniture-20000503,Stolen from a frontline hospital//c the folding bed is much more comfortable than a cardboard box. It even comes with a green rug to provide extra warmth.
furniture-10000504,New World (II) - Rotating Stool
furniture-20000504,This stool used to be in a fast food chain. It's intentionally designed to be uncomfortable so that customers would leave quickly once they finish eating.
furniture-10000505,New World (II) - Coat Rack
furniture-20000505,Even among the ruins of a post-war world//c attire is still an important aspect in the lives of ladies and gentlemen//c especially since the weather forecasts radioactive rain tomorrow.
furniture-10000506,New World (II) - Bottled Water
furniture-20000506,There's nothing more important than clean drinking water. The reassuring sound of twisting open a fresh bottle is like music to the ear.
furniture-10000507,New World (II) - Moving Boxes
furniture-20000507,These packed-and-ready-to-go boxes are your best friends if you need to frequently move base.
furniture-10000508,New World (II) - Heating
