furniture-10000101,ハロウィン-ゴシック・ベッド
furniture-20000101,ハロウィン体験の中心となるベッド。暗黒時代のデザインが、寝る者すべてを美しい神秘的な夢の世界へいざない、魔法ウサギや、ハートの女王、500人の坊主頭などに出会うことができる。
furniture-10000102,ハロウィン-エクリプス・ラグ
furniture-20000102,このラグを敷けば、どんな部屋も神秘的な雰囲気に満たされる。グリフィンの兵舎や、学校のバスケットボールのコートでさえも。
furniture-10000103,ハロウィン-シャドーチェア(左)
furniture-20000103,孤高の王座。これに腰掛けると、コーラしか飲まないような者でも、赤ワインの入ったグラス以外は持てなくなる。
furniture-10000104,ハロウィン-シャドーチェア(右)
furniture-20000104,孤高の王座。これに腰掛けると、コーラしか飲まないような者でも、赤ワインの入ったグラス以外は持てなくなる。
furniture-10000105,ハロウィン-巨大な柱時計
furniture-20000105,デジタル時代において、巨大で死ぬほど重い柱時計ほど富と華麗さを強調するものはない。それにデジタル時計には、深夜に大きな鐘を鳴らして幽霊を召喚することは不可能だ。
furniture-10000106,ハロウィン-カボチャのお菓子入れ
furniture-20000106,ハロウィンには必須のもの。これがあれば最も手ごわい戦術人形だって怖くない。もちろんP7だって。
furniture-10000107,ハロウィン-ゴシック・カーペット
furniture-20000107,この毛足の長い豪奢な絨毯を敷けば、ハロウィン独特の雰囲気が引き立つ。ただし、ジュースなんかをこぼさないよう注意が必要。
furniture-10000108,ハロウィン-シャドーソファ
furniture-20000108,シャドーチェアの強化版の2人掛けソファ。だから孤高さも2倍！……え？
furniture-10000109,ハロウィン-華麗な丸テーブル
furniture-20000109,黒魔法召喚に適した丸テーブル。ハロウィンのベストセレクション。
furniture-10000110,ハロウィン-星々の壁紙
furniture-20000110,暗い夜をイメージした壁紙。ダークゴールドの星々が、草の上に寝転がって星空を眺めているような感じを彷彿とさせる。
furniture-10000111,ハロウィン-ウォールランプ
furniture-20000111,曲線の多いデザインがハロウィンの雰囲気にぴったり。特に古い灯油ランプの明かりが揺らめくところが何ともたまらない。
furniture-10000112,ハロウィン-ミスティラック
furniture-20000112,ホラー映画から何かを学んだのなら、ハロウィンの日には巻物を開いたり、引き出しを開けてはいけない。ましてや本に書かれた奇妙な文字を読み上げるなんてもってのほか。
furniture-10000113,ハロウィン-風変わりな絵
furniture-20000113,どんな絵を選ぶかで部屋の成否が決まる。最も大事なのは色の調和。
furniture-10000114,ハロウィン-クモ
furniture-20000114,真っ黒の毛がびっしりのクモがいないハロウィンなんて考えられない。ただし、驚かすのが普通の人間の女の子じゃなくて戦術人形の場合は注意が必要。なので、事前に傷害保険に入っておくのがお勧め。
furniture-10000115,ハロウィン-黒猫のいる出窓
furniture-20000115,グリフィンの窓はすべて超高精細スクリーンだけれど、明かりの瞬く幻想的な夜景は確かに温かさを感じさせる。可愛い猫もいるならなおさらだ。
furniture-10000201,初期-ベッド
furniture-20000201,IOPから配られた箱で作ったベッド。解体して使用すれば暖も取れる。
furniture-10000202,初期-ダンボール箱
furniture-20000202,IOPから配られた箱。中身が何かは知らないが、腰掛けるにはぴったり。
furniture-10000203,初期-ダンボール箱
furniture-20000203,IOPから配られた箱。中身が何かは知らないが、腰掛けるにはぴったり。
furniture-10000204,初期-フロア
furniture-20000204,グリフィンの床のあるべき姿。鉄筋コンクリートという武骨な建材が飾らない設計哲学として流行しだしたのは、意外にも前世紀から。
furniture-10000205,初期-弾薬箱
furniture-20000205,本部からいつも支給される弾薬箱。マシンガンを使用する戦術少女たちの一番のお友達。
furniture-10000206,初期-テーブル
furniture-20000206,IOPから配られた箱。中身が何かは知らないが、テーブルとして使うにはぴったり。
furniture-10000207,初期-壁紙
furniture-20000207,グリフィンの壁のあるべき姿。鉄筋コンクリートという武骨な建材が飾らない設計哲学として流行しだしたのは、意外にも前世紀から。
furniture-10000301,新世界(I)-チェックタイル
furniture-20000301,二色のタイルが交錯した最も典型的なデザイン。ただし、頻繁に掃除が必要となる。
furniture-10000302,新世界(I)-色褪せた壁紙
furniture-20000302,少し褪せた色が、前世紀60年代の黄金時代を思い出させる。
furniture-10000303,新世界(I)-折りたたみベッド
furniture-20000303,野戦病院からもらってきたベッド。ダンボール箱のベッドよりもずっと快適らしい。セットの国防色の毛布で暖も取れる。
furniture-10000304,新世界(I)-回転スツール
furniture-20000304,もとはどこかのファストフード・チェーン店のものらしい。回転率を上げるため、わざと快適すぎないようにできている。
furniture-10000305,新世界(I)-ポールハンガー
furniture-20000305,荒廃して落ちぶれた戦後の世界であっても、身だしなみを整えるのは紳士や淑女にとって大事なこと。明日は放射能雨との予報が出たときはなおさら。
furniture-10000306,新世界(I)-ボトルウォーター
furniture-20000306,清潔な飲料水の確保は何よりも大切。キャップをひねった時にカチッと音がすると、心底ホッとする。
furniture-10000307,新世界(I)-引っ越しの荷物
furniture-20000307,たびたび引っ越す前線基地では、梱包済みのダンボール箱とはいやでも仲良くなる。
furniture-10000308,新世界(I)-スチームヒーター
furniture-20000308,基地では廃熱を利用した暖房が普及しているが、この精巧な金属製品はインテリアとしての価値を認められ、今も残されている。
furniture-10000309,新世界(I)-セーフティボックス
furniture-20000309,誰も暗証番号を知らないがため、長年閉ざされている大きな箱。仕方なく椅子として使っているが、中身が核弾頭でないことを祈る。
furniture-10000310,新世界(I)-スチールテーブル
furniture-20000310,ファストフード・チェーン店のテーブル。各種調味料のほか、12年前の古すぎる雑誌が置かれているのは、誰の趣味なんだろうか。
furniture-10000311,新世界(I)-ポスター
furniture-20000311,終戦後はカレンダーも作られなくなったし、もちろん熱々のホットドッグも買えなくなった。
furniture-10000312,新世界(I)-壁掛け時計
furniture-20000312,いや、サルバドール・ダリの作品でも何でもなく、誰かのいたずらで針が曲がっているだけだよ。
furniture-10000313,新世界(I)-換気扇
furniture-20000313,換気扇は空気を循環させてくれるほかに、静かすぎるときのBGMにもなり得る。
furniture-10000314,新世界(I)-ウォールライト
furniture-20000314,一回引っ張ると点灯し、もう一回引っ張ると更に明るくなり、力いっぱい引っ張るとひもがちぎれ、二度と消せなくなる。
furniture-10000315,新世界(I)-窓
furniture-20000315,本部に不審者が入り込む心配はそれほどないが、木の板で窓を塞ぐのは、この末世でも行われる伝統儀式となっている。
furniture-10000401,オータム-ガールズベッド
furniture-20000401,ふんわり温かい感じのベッド。大きなウサギのぬいぐるみ付きで、戦術人形たちに大人気。
furniture-10000402,オータム-厚地のウール絨毯
furniture-20000402,白くてふかふかのウール絨毯。素足で上がると幸せな気持ちになる。
furniture-10000403,オータム-赤いソファ(左)
furniture-20000403,コンパクトな一人掛けソファ。多少の傷や汚れはあるけれど、柔らかい座り心地が素晴らしい。
furniture-10000404,オータム-赤いソファ(右)
furniture-20000404,コンパクトな一人掛けソファ。多少の傷や汚れはあるけれど、柔らかい座り心地が素晴らしい。
furniture-10000405,オータム-優雅なキャビネット
furniture-20000405,シンプルだけど引き締まったデザイン。お菓子作りの材料や盛り付け用の食器をしまっておくのにぴったり。
furniture-10000406,オータム-フルーツバスケット
furniture-20000406,摘みたての秋の果物と麦わら帽子。帽子は誰が置いたのか分からないけれど、花の香りがかすかに残っている。
furniture-10000407,オータム-チョコレートタイル
furniture-20000407,「ほんとにチョコの匂いがする！」と、あのFNCもおすすめしている。
furniture-10000408,オータム-ふかふかソファ
furniture-20000408,大きな赤のソファ。横になると起き上がりたくなくなる。もう一日中寝そべっていたい。
furniture-10000409,オータム-ティーテーブル
