skin-10000001,かぼちゃクマさん
skin-20000001,みんなどこに隠れたのかな～？悪戯しちゃうよ～
skin-30000001,この世には、オバケなんていない。でも、あなた達は今日、指揮官と一緒に過ごせるハロウィンイベントの邪魔をしたのよ……
skin-10000002,にゃんこヴェクター
skin-20000002,どこどこー？あたしはこういうの大好きー。ずーっとこういう雰囲気だったら、悪くないんだけどなー。
skin-30000002,あたしに仕事か何か？
skin-10000003,闇夜の使い魔
skin-20000003,指揮官様、今日はわたしが一年で一番好きな日です！皆がいーっぱいお菓子をくれる日です、えへへっ。
skin-30000003,分かりました、伝えます！
skin-10000004,キャンディ・エクスプレス
skin-20000004,ハロウィンってなんだか少し怖いですよね。え？コスプレ？それはちょっと興味あるかな…えへへ…
skin-30000004,今回は許してあげます。でも、こんど来るときは一番上等なベーキングパウダーを持ってきてくださいね。
skin-10000005,古典派魔女
skin-20000005,うふふ、ハロウィンですね。M14ちゃんがはしゃいでます。
skin-30000005,そんなにじっと見つめてたら……宜しくないですわね。
skin-10000006,古城探検
skin-20000006,ひぃっ！…べ、別に怖がってないわよ！わーっ、かぼちゃ頭持ってくんな！
skin-30000006,みんな嘘っぱちなのよ、怖いわけないじゃない！この世にほんとにいるわけ……
skin-10000007,カーミラ
skin-20000007,お菓子くれるの？嬉しい！指揮官だーいすきっ！
skin-30000007,お菓子くれるの？嬉しい！指揮官だーいすきっ！
skin-10000008,スイートな小悪魔
skin-20000008,今夜はみんな、仮装して遊びに来るんだよねー・・・でも、ダーリンの隣は絶対に譲らないんだから！
skin-30000008,ん？ダーリン、気に入った？あなたのために特別に用意したのよ。
skin-10000009,引きこもりゾンビ
skin-20000009,お菓子がもらえるなら、ちょっとは参加したいかも。え？条件付き？・・・・・・いいや。
skin-30000009,う～、人生ってままならないよね、十中八九はさ……
skin-10000010,フォーマルハンター
skin-20000010,戦場だろうと、狩猟場だろうと、あなたのために勝利という栄誉を刻んでみせます！
skin-30000010,
skin-10000011,異国の魔女
skin-20000011,まあ、誰かしら？ハロウィン……ですか。お菓子をまだ用意してなくて、抹茶アイスでいいかしら？
skin-30000011,あぁ、それ、わたしの個人的な趣味です。ポットは釣り合いを取るための重りよ。
skin-10000101,寝起きのおバカさん
skin-20000101,何よ、これなら満足？ほんとバカの趣味って分からないわ……
skin-30000101,
skin-10000102,バニーガール
skin-20000102,はーい、ベット終了で～す。指揮官、勝算はどれくらいですか？
skin-30000102,
skin-10000103,やんちゃノイジー
skin-20000103,独立独歩が海賊のやり方さ！反論とか障害なんて、ぼくには効かないよ！
skin-30000103,
skin-10000104,水辺のキャミソール
skin-20000104,指揮官……こんな高尚な趣味がおありだったんですね。一緒に美味しいお茶を頂きませんか？
skin-30000104,
skin-10000105,週末SP
skin-20000105,週末にあたしとデートしたい？じゃあ、セキュリティは任せて、特別サービスだよ？
skin-30000105,
skin-10000106,パーティーハニー
skin-20000106,早くパーティー始めようよ～、これ以上ぐずぐずしてたら、みんな待ちきれなくなっちゃうってば！
skin-30000106,
skin-10000201,青春の光
skin-20000201,
skin-30000201,
skin-10000202,フリーストリート
skin-20000202,
skin-30000202,
skin-10000203,ロックレンチ
skin-20000203,
skin-30000203,
skin-10000204,グリフィンの制服
skin-20000204,
skin-30000204,
skin-10000205,ダイヤと花火
skin-20000205,
skin-30000205,
skin-10000206,ウィンターパーティー
skin-20000206,
skin-30000206,
skin-10000207,ブラックキャット
skin-20000207,
skin-30000207,
skin-10000208,恋人のささやき
skin-20000208,
skin-30000208,
skin-10000301,星への願い事
skin-20000301,メリークリスマス！ツリーが綺麗だね！
skin-30000301,コーラは人生の必需品だよ！だから指揮官……一緒にコーラを飲もうよ！
skin-10000302,ホーリーナイトの祝福
skin-20000302,うふふ、クリスマスだから、腕によりをかけてお料理しましょう。
skin-30000302,私にもクリスマスのサプライズがあるなんて思いもしませんでしたわ。今日はとっても素敵な祝日ですね！
skin-10000303,クリスマス・ドレス
skin-20000303,メリークリスマス！指揮官、サンタさん来ますよね？来ますよね！？
skin-30000303,もしプレゼントをうっかりなくしてしまっても大丈夫！このM14が必ず探し出してみせます！
skin-10000304,聖夜のルームウェア
skin-20000304,メリークリスマス、指揮官！サンタクロース狩りにでも行く？でも、実は家で暖かくしてるほうが好きなんだけどねー。
skin-30000304,ジョークを言うはとても難しいけど……指揮官と約束したから、私絶対にあきらめないよ！
skin-10000305,冬の妖精
skin-20000305,どう？わたしのクリスマスドレス。似合うのは当然だろう。せっかく着たのだから、ちゃんと見てくれ…。
skin-30000305,やはり本場のクワスはいいものだ。しかしなかなか手に入らんからなぁ……いつか満足いくまで飲めるといいんだが。
skin-10000306,雪の日の約束
skin-20000306,あんたどうせ暇でしょ。一人じゃかわいそうだから、付き合ってあげるわ。
skin-30000306,このお酒のラベルをとってあるのは、単に故郷の物なんてなかなか見ることができないからよ。指揮官に感謝してとかじゃないんだからね！
skin-10000307,聖夜のトナカイ
skin-20000307,クリスマスには雪が降るのか？雪は見たことないんだ。楽しみだなぁ…
skin-30000307,初めて雪を見たが、本当に素晴らしいな……寒いことを除けばだが。
skin-10000308,ウィンターヴェール補給作戦
skin-20000308,メリークリスマス、指揮官…さっさと舞踏会を終わらせましょう。このドレスじゃ…ちょっと寒いわ…
skin-30000308,センスが素晴らしいとショッピングをする時、凡人とはまた違った楽しみがあるの。指揮官、あなたはまだまだセンスを磨く必要があるわ。それと、体力もつけておきなさい。
skin-10000309,緋色のナイトウォッチ
skin-20000309,メリークリスマス、窓はわたしが拭いておく。今日ぐらい指揮官は動かなくていいよ。
skin-30000309,みんなと一緒にクリスマスが過ごせて本当に愉快だった。これからもイベントはこのように過ごしたいものだな。
skin-10000310,スノウエルフ
skin-20000310,メリークリスマス、指揮官…今夜のわたしの服、どうですか？？サンタクロースをお迎えする者として、ちゃんとおめかししなきゃダメですよね。
skin-30000310,クリスマスソングの合唱は大成功でしたね！いつの日か私の故郷の音楽もクリスマスソングのようにみんなに受け入れられるとよいのですが……
skin-10000401,サルビア
skin-20000401,しんにぇんくぁいらー！指揮官！
skin-30000401,
skin-10000402,ヒマワリ
skin-20000402,指揮官、明けましておめでとう！新年もたくさん一緒にあそんでよね！
skin-30000402,
skin-10000403,ゴールドデイジー
skin-20000403,はぁ？一発芸？そ、そんなの出来ない……どうしよう……。分かった、ちょ、ちょっとだけだ！ちょっ…笑うんじゃない！
skin-30000403,
skin-10000404,シクラメン
skin-20000404,指揮官、明けましておめでとうございます！指揮官のおかげで去年は成長できました！今年も頑張りますから期待しててくださいね！
skin-30000404,
skin-10000405,グレース
skin-20000405,新年ですよ、指揮官。今年は仲間が増えたら、お年玉も多めに準備しないとね。97式の分は昨日あげたから、大丈夫。
skin-30000405,
skin-10000406,牡丹
skin-20000406,新年だよぉ～ほら、お姉ちゃんからもらったお年玉だよぉ～。毎年この日だけはお姉ちゃんがお姉ちゃんで良かったって思う…
skin-30000406,
skin-10000407,サクラソウ
skin-20000407,新年だよ、新年だよ！お年玉の出費が大変だよ、指揮官さま、助けて～
skin-30000407,
skin-10000501,ロードオブウォー
skin-20000501,BOSS！戦場で生き残りたけりゃ、あたしとお揃いのクールなタトゥーを入れようぜ！
skin-30000501,
skin-10000502,ウェイトレス
skin-20000502,メイドってこういう仕事ですよね？それほど難しくなさそうですけど……
skin-30000502,
skin-10000408,ロマンチックな任務
skin-20000408,今日はバレンタインね。指揮官、わたしの気持ちを受け取って。さもないと…
skin-30000408,
skin-10000409,「待った？」
skin-20000409,指揮官、今日もらったチョコ、多すぎないですか？…だから、もう一つもらってもいいんじゃない？うふふふ。
skin-30000409,
skin-10000410,「今回だけだから」
skin-20000410,指揮官、これ、私からのチョコレート。もちろん、ちゃーんとみんなにも作ってきたんだから。やるでしょ？
skin-30000410,
skin-10000411,英国の恋人
skin-20000411,どうでしょうこのチョコ……毒味は済んでます。受け取ってください、指揮官。
skin-30000411,
skin-10000603,届いた想い
skin-20000603,え？私の気持ちが……届いたの？なんの取り柄もない私に、こんな日が来るなんて……
skin-30000603,
skin-10000601,二人の旅路
skin-20000601,……2人の間のこと…?よく分からないんですけど、教えてくださいますか？
skin-30000601,
skin-10000602,約束の時
skin-20000602,指揮官、あなたとこの神聖な契約を結べるなんて、私は今、人生で一番幸せです。これから、もっともっとたくさんの栄誉をあなたに捧げますわ！
skin-30000602,
skin-10000604,一生守り抜く
skin-20000604,これから、私があなたをお守りします。これこそ、私の生涯最大の栄誉！
skin-30000604,
skin-10000605,あなたと共に
skin-20000605,これからも、共に道を切り開いていこうではないか。
skin-30000605,
skin-10000606,掌の約束
skin-20000606,おやおや、最終的に指揮官もわたしに落とされたね～
skin-30000606,
skin-10000607,一番大事な日
skin-20000607,大事な一日だけど、あまり緊張しないでね。
skin-30000607,
skin-10000701,新学期
skin-20000701,こんど席が隣りになるのはM4A1、それとも……
skin-30000701,
skin-10000702,横柄な日直
skin-20000702,ちょっとぉ、そこ、まだ綺麗になってない。日直じゃ怠けられないじゃん……
skin-30000702,
skin-10000703,サバイバル社員
skin-20000703,ワタシたちのサークルに入りたい？……サバイバルってただのゲームじゃないんですよ？
skin-30000703,
skin-10000704,戦うセーラー
skin-20000704,波が来た。アタシたちの射程はあの大海原だって超えるのよ！
skin-30000704,
skin-10000801,スカーレットスター
skin-20000801,サソリのバラに毒があるかって？それは、今までずっと一緒に頑張ってきた指揮官が一番分かってるでしょ？
skin-30000801,次のパーティーでは、絶対主役になる！
skin-10000802,灯下のクイーン
skin-20000802,今晩のパーティーのスポットライトが……きっと最高の瞬間を照らしてくれますわ。
skin-30000802,とても楽しい一年が過ごせましたわ、次の年はもっと多くの子が社交パーティーに参加できるといいですね。
skin-10000803,月の海
