skin-10000001,Pumpkin Mishka
skin-20000001,Where's everyone hiding? I'm gonna trick you!~
skin-30000001,这世界上，是没有妖魔鬼怪的，但是你们敢耽误我今天跟指挥官一起度过的万圣节活动……
skin-10000002,Kitty Paws
skin-20000002,Not at all. I'm enjoying the night very much. It'd probably be better for everyone if I could stay forever on the side of the dead//c wouldn't it?
skin-30000002,嗯，居然有什么事能用得上我吗？
skin-10000003,Nocturnal Familiar
skin-20000003,This is my favorite day of the year//c Commander! People give me loads of snacks//c tee-hee!
skin-30000003,嗯，好的，我知道啦！
skin-10000004,Candy Express
skin-20000004,I'm an expert at snacks when it comes to Halloween. Huh? Cosplay? I'll pass//c ahahaha...
skin-30000004,这次就不跟你计较，下次要带最好的泡打粉给我哦。
skin-10000005,Classic Witch
skin-20000005,Tee-hee//c it's Halloween. M14//c as always//c is on cloud nine over there...
skin-30000005,您的视线，直勾勾得……有点过头啦。
skin-10000006,Haunted Castle
skin-20000006,Eek! I'm not scared! Whoa! Don't come here with the pumpkin head!
skin-30000006,都知道是假的，怎么可能会怕！世上又不会真的存……
skin-10000007,Carmilla
skin-20000007,You're giving me candies? Hurray! Commander you're the best!
skin-30000007,要给我糖果吗？太好啦！最喜欢指挥官啦！
skin-10000008,Impish Sweetheart
skin-20000008,Many girls will be looking glamorous tonight//c but you...must only have eyes for me.
skin-30000008,嗯？Darling，喜欢么？这可是为你特别准备的哦。
skin-10000009,Neet Zombie
skin-20000009,I don't mind joining in if I can get candies... Huh? There's more to it? Then I'll pass.
skin-30000009,呃，人生不如意……十有八九嘛……
skin-10000010,Huntress' Frock 
skin-20000010,I shall bring glory to your name on both the battlefield and the hunting ground.
skin-30000010,
skin-10000011,Witch from Afar
skin-20000011,Oh//c who's at the door? Halloween...? The candies aren't ready yet... Will green tea ice cream do?
skin-30000011,啊……这个啊，算是个人爱好吧，至于那个茶壶，是用来配重用的。
skin-10000101,Dorky Sleepyhead
skin-20000101,What//c you're happy with how I dress? Idiots have such unfathomable tastes...
skin-30000101,
skin-10000102,Bunny Girl
skin-20000102,All right~ time to place your bet! How likely do you think you'll win//c Commander?
skin-30000102,
skin-10000103,Boisterous Rogue
skin-20000103,Bein' a maverick is the way of the pirate! Objections and obstacles mean nothin' to me!
skin-30000103,
skin-10000104,Water Gown
skin-20000104,Commander... Since you're in a rare mood for refinement//c how about enjoying a cup of nice tea with me?
skin-30000104,
skin-10000105,Weekend Cop
skin-20000105,How about a date at the weekend? Then leave your safety to me. It's a special service//c all right?
skin-30000105,
skin-10000106,Party Sweetheart
skin-20000106,Let the party begin already! We can't keep the ladies waiting any longer!
skin-30000106,
skin-10000201,Rays of Youth
skin-20000201,
skin-30000201,
skin-10000202,Urban Freedom
skin-20000202,
skin-30000202,
skin-10000203,Rock 'n' Spanner
skin-20000203,
skin-30000203,
skin-10000204,Grifon Uniform
skin-20000204,
skin-30000204,
skin-10000205,Gems & Fireworks
skin-20000205,
skin-30000205,
skin-10000206,Winter Party
skin-20000206,
skin-30000206,
skin-10000301,Wish Upon A Star
skin-20000301,Merry Christmas! What a wonderful Christmas tree!
skin-30000301,可乐是人生的必需品，所以……指挥官，来一起享受可乐吧~
skin-10000302,O Holy Night
skin-20000302,Tee-hee//c it's Christmas. What dishes should I prepare?
skin-30000302,没想到在圣诞节我也收到了一份意外惊喜，看来这的确是个有魔力的节日呢。
skin-10000303,X'mas Parade
skin-20000303,Merry Christmas! Santa Claus is coming//c right? RIGHT?
skin-30000303,如果不小心弄丢了礼物也不怕，M14会帮你找回来的！
skin-10000304,X'mas At Home
skin-20000304,Merry Christmas//c Commander! I was invited to the Santa Claus hunt//c but I've decided to stay cozy here at home after all!
skin-30000304,讲笑话真的好难啊……不过为了和指挥官的约定，我不会放弃的！
skin-10000305,Winter Fairy
skin-20000305,How's my Christmas gown? ...Of course it's exceptional! You'd better enjoy the view on this marvelous festive day.
skin-30000305,还是正宗的格瓦斯棒啊，可惜太难弄到，要是能有机会喝个够就好了。
skin-10000306,Date in the Snow
skin-20000306,You've got nothing to do anyway. I take pity on your being all alone so I'm keeping you company.
skin-30000306,收集这个酒标，只是因为故乡的东西比较难得一见而已，才不是为了感谢指挥官留下的！
skin-10000307,X'mas Reindeer
skin-20000307,Will it snow on Christmas Day? I've never seen snow. It's on my bucket list...
skin-30000307,第一次看到雪，真是漂亮……就是太冷了。
skin-10000308,Winter Supply
skin-20000308,Merry Christmas//c Commander... Please end the ball early. It feels a bit chilly...wearing this dress the entire night...
skin-30000308,有着高档品位的人在逛街的时候能得到别样的乐趣。无论是品位还是体力，指挥官你都需要好好锻炼才行。
skin-10000309,Crimson Guardian
skin-20000309,Merry Christmas//c Commander. Let me help with cleaning the windows. It is a little dangerous//c after all. It is safer to leave it to me.
skin-30000309,能和大家一起过圣诞真的很愉快，希望今后每个节日都能这样度过。
skin-10000310,Korvatunturi Pixie
skin-20000310,Merry Christmas//c Commander... Are you happy with my outfit tonight? As the first to welcome Santa Claus//c I must look my absolute best.
